 Date,CPI_YOY Close,CPI_YOY Adj. Close
12/31/2019,2.3,2.3
11/30/2019,2.1,2.1
10/31/2019,1.8,1.8
9/30/2019,1.7,1.7
8/31/2019,1.7,1.7
7/31/2019,1.8,1.8
6/30/2019,1.6,1.6
5/31/2019,1.8,1.8
4/30/2019,2,2
3/31/2019,1.9,1.9
2/28/2019,1.5,1.5
1/31/2019,1.6,1.6
12/31/2018,1.9,1.9
11/30/2018,2.2,2.2
10/31/2018,2.5,2.5
9/30/2018,2.3,2.3
8/31/2018,2.7,2.7
7/31/2018,2.9,2.9
6/30/2018,2.9,2.9
5/31/2018,2.8,2.8
4/30/2018,2.5,2.5
3/31/2018,2.4,2.4
2/28/2018,2.2,2.2
1/31/2018,2.1,2.1
12/31/2017,2.1,2.1
11/30/2017,2.2,2.2
10/31/2017,2,2
9/30/2017,2.2,2.2
8/31/2017,1.9,1.9
7/31/2017,1.7,1.7
6/30/2017,1.6,1.6
5/31/2017,1.9,1.9
4/30/2017,2.2,2.2
3/31/2017,2.4,2.4
2/28/2017,2.7,2.7
1/31/2017,2.5,2.5
12/31/2016,2.1,2.1
11/30/2016,1.7,1.7
10/31/2016,1.6,1.6
9/30/2016,1.5,1.5
8/31/2016,1.1,1.1
7/31/2016,0.8,0.8
6/30/2016,1,1
5/31/2016,1,1
4/30/2016,1.1,1.1
3/31/2016,0.9,0.9
2/29/2016,1,1
1/31/2016,1.4,1.4
12/31/2015,0.7,0.7
11/30/2015,0.5,0.5
10/31/2015,0.2,0.2
9/30/2015,0,0
8/31/2015,0.2,0.2
7/31/2015,0.2,0.2
6/30/2015,0.1,0.1
5/31/2015,0,0
4/30/2015,-0.2,-0.2
3/31/2015,-0.1,-0.1
2/28/2015,0,0
1/31/2015,-0.1,-0.1
12/31/2014,0.8,0.8
11/30/2014,1.3,1.3
10/31/2014,1.7,1.7
9/30/2014,1.7,1.7
8/31/2014,1.7,1.7
7/31/2014,2,2
6/30/2014,2.1,2.1
5/31/2014,2.1,2.1
4/30/2014,2,2
3/31/2014,1.5,1.5
2/28/2014,1.1,1.1
1/31/2014,1.6,1.6
12/31/2013,1.5,1.5
11/30/2013,1.2,1.2
10/31/2013,1,1
9/30/2013,1.2,1.2
8/31/2013,1.5,1.5
7/31/2013,2,2
6/30/2013,1.8,1.8
5/31/2013,1.4,1.4
4/30/2013,1.1,1.1
3/31/2013,1.5,1.5
2/28/2013,2,2
1/31/2013,1.6,1.6
12/31/2012,1.7,1.7
11/30/2012,1.8,1.8
10/31/2012,2.2,2.2
9/30/2012,2,2
8/31/2012,1.7,1.7
7/31/2012,1.4,1.4
6/30/2012,1.7,1.7
5/31/2012,1.7,1.7
4/30/2012,2.3,2.3
3/31/2012,2.7,2.7
2/29/2012,2.9,2.9
1/31/2012,2.9,2.9
12/31/2011,3,3
11/30/2011,3.4,3.4
10/31/2011,3.5,3.5
9/30/2011,3.9,3.9
8/31/2011,3.8,3.8
7/31/2011,3.6,3.6
6/30/2011,3.6,3.6
5/31/2011,3.6,3.6
4/30/2011,3.2,3.2
3/31/2011,2.7,2.7
2/28/2011,2.1,2.1
1/31/2011,1.6,1.6
12/31/2010,1.5,1.5
11/30/2010,1.1,1.1
10/31/2010,1.2,1.2
9/30/2010,1.1,1.1
8/31/2010,1.1,1.1
7/31/2010,1.2,1.2
6/30/2010,1.1,1.1
5/31/2010,2,2
4/30/2010,2.2,2.2
3/31/2010,2.3,2.3
2/28/2010,2.1,2.1
1/31/2010,2.6,2.6
12/31/2009,2.7,2.7
11/30/2009,1.8,1.8
10/31/2009,-0.2,-0.2
9/30/2009,-1.3,-1.3
8/31/2009,-1.5,-1.5
7/31/2009,-2.1,-2.1
6/30/2009,-1.4,-1.4
5/31/2009,-1.3,-1.3
4/30/2009,-0.7,-0.7
3/31/2009,-0.4,-0.4
2/28/2009,0.2,0.2
1/31/2009,0,0
12/31/2008,0.1,0.1
11/30/2008,1.1,1.1
10/31/2008,3.7,3.7
9/30/2008,4.9,4.9
8/31/2008,5.4,5.4
7/31/2008,5.6,5.6
6/30/2008,5,5
5/31/2008,4.2,4.2
4/30/2008,3.9,3.9
3/31/2008,4,4
2/29/2008,4,4
1/31/2008,4.3,4.3
12/31/2007,4.1,4.1
11/30/2007,4.3,4.3
10/31/2007,3.5,3.5
9/30/2007,2.8,2.8
8/31/2007,2,2
7/31/2007,2.4,2.4
6/30/2007,2.7,2.7
5/31/2007,2.7,2.7
4/30/2007,2.6,2.6
3/31/2007,2.8,2.8
2/28/2007,2.4,2.4
1/31/2007,2.1,2.1
12/31/2006,2.5,2.5
11/30/2006,2,2
10/31/2006,1.3,1.3
9/30/2006,2.1,2.1
8/31/2006,3.8,3.8
7/31/2006,4.1,4.1
6/30/2006,4.3,4.3
5/31/2006,4.2,4.2
4/30/2006,3.5,3.5
3/31/2006,3.4,3.4
2/28/2006,3.6,3.6
1/31/2006,4,4
12/31/2005,3.4,3.4
11/30/2005,3.5,3.5
10/31/2005,4.3,4.3
9/30/2005,4.7,4.7
8/31/2005,3.6,3.6
7/31/2005,3.2,3.2
6/30/2005,2.5,2.5
5/31/2005,2.8,2.8
4/30/2005,3.5,3.5
3/31/2005,3.1,3.1
2/28/2005,3,3
1/31/2005,3,3
12/31/2004,3.3,3.3
11/30/2004,3.5,3.5
10/31/2004,3.2,3.2
9/30/2004,2.5,2.5
8/31/2004,2.7,2.7
7/31/2004,2.9,2.9
6/30/2004,3.3,3.3
5/31/2004,3.1,3.1
4/30/2004,2.3,2.3
3/31/2004,1.7,1.7
2/29/2004,1.7,1.7
1/31/2004,2,2
12/31/2003,1.9,1.9
11/30/2003,1.8,1.8
10/31/2003,2,2
9/30/2003,2.3,2.3
8/31/2003,2.2,2.2
7/31/2003,2.1,2.1
6/30/2003,2.1,2.1
5/31/2003,2.1,2.1
4/30/2003,2.2,2.2
3/31/2003,3,3
2/28/2003,3,3
1/31/2003,2.6,2.6
12/31/2002,2.4,2.4
11/30/2002,2.2,2.2
10/31/2002,2,2
9/30/2002,1.5,1.5
8/31/2002,1.8,1.8
7/31/2002,1.5,1.5
6/30/2002,1.1,1.1
5/31/2002,1.2,1.2
4/30/2002,1.6,1.6
3/31/2002,1.5,1.5
2/28/2002,1.1,1.1
1/31/2002,1.1,1.1
12/31/2001,1.6,1.6
11/30/2001,1.9,1.9
10/31/2001,2.1,2.1
9/30/2001,2.6,2.6
8/31/2001,2.7,2.7
7/31/2001,2.7,2.7
6/30/2001,3.2,3.2
5/31/2001,3.6,3.6
4/30/2001,3.3,3.3
3/31/2001,2.9,2.9
2/28/2001,3.5,3.5
1/31/2001,3.7,3.7
12/31/2000,3.4,3.4
11/30/2000,3.4,3.4
10/31/2000,3.4,3.4
9/30/2000,3.5,3.5
8/31/2000,3.4,3.4
7/31/2000,3.7,3.7
6/30/2000,3.7,3.7
5/31/2000,3.2,3.2
4/30/2000,3.1,3.1
3/31/2000,3.8,3.8
2/29/2000,3.2,3.2
1/31/2000,2.7,2.7
12/31/1999,2.7,2.7
11/30/1999,2.6,2.6
10/31/1999,2.6,2.6
9/30/1999,2.6,2.6
8/31/1999,2.3,2.3
7/31/1999,2.1,2.1
6/30/1999,2,2
5/31/1999,2.1,2.1
4/30/1999,2.3,2.3
3/31/1999,1.7,1.7
2/28/1999,1.6,1.6
1/31/1999,1.7,1.7
